date,product,category,units,price,region
1/1/2026,Laptop,Electronics,5,999.99,North
1/1/2026,T-Shirt,Clothing,20,29.99,South
1/2/2026,Headphones,Electronics,8,149.99,East
1/2/2026,Jeans,Clothing,15,59.99,West
1/3/2026,Laptop,Electronics,3,999.99,South
1/3/2026,Coffee Maker,Home,10,79.99,North
1/4/2026,Sneakers,Clothing,25,89.99,East
1/4/2026,Tablet,Electronics,6,499.99,West
1/5/2026,Blender,Home,12,49.99,North
1/5/2026,Headphones,Electronics,4,149.99,South
1/6/2026,T-Shirt,Clothing,30,29.99,West
1/6/2026,Laptop,Electronics,7,999.99,East
1/7/2026,Coffee Maker,Home,8,79.99,South
1/7/2026,Sneakers,Clothing,18,89.99,North
1/8/2026,Tablet,Electronics,9,499.99,East
